    PID TTY      STAT   TIME COMMAND
      1 ?        Ss     0:00 /usr/lib/systemd/systemd text --switched-root --system --deserialize 31 
      2          S      0:00 [kthreadd]
      3          I<     0:00 [rcu_gp]
      4          I<     0:00 [rcu_par_gp]
      5          I<     0:00 [slub_flushwq]
      6          I<     0:00 [netns]
      8          I<     0:00 [kworker/0:0H-events_highpri]
     10          I<     0:00 [mm_percpu_wq]
     12          I      0:00 [rcu_tasks_kthre]
     13          I      0:00 [rcu_tasks_rude_]
     14          I      0:00 [rcu_tasks_trace]
     15          S      0:00 [ksoftirqd/0]
     16          S      0:19 [pr/tty0]
     17          I      0:00 [rcu_preempt]
     18          S      0:00 [migration/0]
     19          S      0:00 [idle_inject/0]
     21          S      0:00 [cpuhp/0]
     23          S      0:00 [kdevtmpfs]
     24          I<     0:00 [inet_frag_wq]
     25          S      0:00 [kauditd]
     26          S      0:00 [khungtaskd]
     27          S      0:00 [oom_reaper]
     29          I<     0:00 [writeback]
     30          S      0:00 [kcompactd0]
     31          SN     0:00 [ksmd]
     32          SN     0:00 [khugepaged]
     33          I<     0:00 [cryptd]
     34          I<     0:00 [kintegrityd]
     35          I<     0:00 [kblockd]
     36          I<     0:00 [blkcg_punt_bio]
     37          I<     0:00 [tpm_dev_wq]
     38          I<     0:00 [md]
     39          I<     0:00 [md_bitmap]
     40          I<     0:00 [edac-poller]
     41          S      0:00 [watchdogd]
     42          I<     0:00 [kworker/0:1H-kblockd]
     43          S      0:00 [kswapd0]
     48          I<     0:00 [kthrotld]
     53          I<     0:00 [acpi_thermal_pm]
     54          I<     0:00 [kmpath_rdacd]
     55          I<     0:00 [kaluad]
     56          I<     0:00 [mld]
     57          I<     0:00 [ipv6_addrconf]
     59          I      0:00 [kworker/u2:3-events_unbound]
     67          I<     0:00 [kstrp]
     72          I<     0:00 [zswap-shrink]
    179          I<     0:00 [kworker/u3:0]
    378          I<     0:00 [iprt-VBoxWQueue]
    386          I<     0:00 [ata_sff]
    387          S      0:00 [scsi_eh_0]
    388          I<     0:00 [scsi_tmf_0]
    389          S      0:00 [scsi_eh_1]
    390          I<     0:00 [scsi_tmf_1]
    391          S      0:00 [scsi_eh_2]
    392          I<     0:00 [scsi_tmf_2]
    453          I<     0:00 [kdmflush/253:0]
    460          I<     0:00 [kdmflush/253:1]
    478          I<     0:00 [xfsalloc]
    479          I<     0:00 [xfs_mru_cache]
    480          I<     0:00 [xfs-buf/dm-0]
    481          I<     0:00 [xfs-conv/dm-0]
    482          I<     0:00 [xfs-reclaim/dm-]
    483          I<     0:00 [xfs-blockgc/dm-]
    484          I<     0:00 [xfs-inodegc/dm-]
    485          I<     0:00 [xfs-log/dm-0]
    486          I<     0:00 [xfs-cil/dm-0]
    487          S      0:00 [xfsaild/dm-0]
    561 ?        Ss     0:00 /usr/sbin/haveged -w 1024 -v 1 --Foreground -v 64 
    562 ?        Ss     0:01 /usr/lib/systemd/systemd-journald 
    563 ?        Ss     0:00 /usr/lib/systemd/systemd-udevd 
    595          I<     0:00 [xfs-buf/sda1]
    597          I<     0:00 [xfs-conv/sda1]
    599          I<     0:00 [xfs-reclaim/sda]
    600          I<     0:00 [xfs-blockgc/sda]
    602          I<     0:00 [xfs-inodegc/sda]
    603          I<     0:00 [xfs-log/sda1]
    604          I<     0:00 [xfs-cil/sda1]
    605          S      0:00 [xfsaild/sda1]
    616 ?        S<sl   0:00 /sbin/auditd 
    637 ?        Ss     0:00 /usr/bin/dbus-broker-launch --scope system --audit 
    638 ?        S      0:00 dbus-broker --log 4 --controller 9 --machine-id c668140b7fa84afc9c25b72d817a4e38 --max-bytes 536870912 --max-fds 4096 --max-matches 131072 --audit 
    641 ?        Ssl    0:00 /usr/bin/python3 -s /usr/sbin/firewalld --nofork --nopid 
    643 ?        Ss     0:00 /usr/lib/systemd/systemd-logind 
    649 ?        S      0:00 /usr/sbin/chronyd -F 2 
    652 ?        Ssl    0:00 /usr/sbin/NetworkManager --no-daemon 
    680 ?        Ss     0:00 sshd: /usr/sbin/sshd -D -u0 [listener] 0 of 10-100 startups 
    687 ?        Ssl    0:00 /usr/bin/python3 -Es /usr/sbin/tuned -l -P 
    693 ?        Ss     0:00 /usr/sbin/crond -n 
    696 tty1     Ss+    0:00 /sbin/agetty -o -p -- \u --noclear - linux 
    716 ?        Ssl    0:00 /usr/lib/polkit-1/polkitd --no-debug 
    893 ?        Ssl    0:01 /usr/sbin/rsyslogd -n 
    955 ?        Sl     0:00 /usr/sbin/VBoxService --pidfile /var/run/vboxadd-service.sh 
    970 ?        Ss     0:00 sshd: vagrant [priv]     
    974 ?        Ss     0:00 /usr/lib/systemd/systemd --user 
    976 ?        S      0:00 (sd-pam) 
    983 ?        S      0:00 sshd: vagrant@pts/0      
    984 pts/0    Ss     0:00 -bash 
   1006 pts/0    S      0:00 sudo -i 
   1008 pts/0    S      0:00 -bash 
  20712          I      0:00 [kworker/u2:0-events_unbound]
  31935          I      0:00 [kworker/0:3-events_power_efficient]
  31945          I      0:00 [kworker/u2:2]
  31946          I      0:00 [kworker/0:0-events]
  31989          I      0:00 [kworker/0:1-xfs-buf/dm-0]
  31998 pts/0    S+     0:00 /bin/bash /usr/local/sbin/psax.sh 
cat: /proc/32000/stat: No such file or directory
  32001 ?        S+     0:00 /bin/bash /usr/local/sbin/psax.sh 
